Date,Title,Short Note
2004-12-31,零四年財經大事回顧(2),
2004-12-30,零四年財經大事回顧(1),
2004-12-29,為填FAFSA表格作準備,有子女就讀大學的家長，現在應該準備為子女填寫FAFSA表格，去申請大學教育經濟援助，假如子女現正就讀第十二班，零八年秋天入大學，那您就是第一次填寫FAFSA；即使子女已經在讀大學，每年也要填寫RENEWAL FAFSA表格。  FAFSA表格上需要填上家長的收入和稅金，通常在遞交FAFSA表格時都未填好報稅表，所以大多數家長都是要估計自己零七年收入和稅金。新的FAFSA表格已經發出，在公眾圖書館可以領取。  有些家庭準備透過互聯網申請，現在應該為子女與家長先去申請個人密碼(PIN)，即使要用互聯網申請，亦應該先取一份worksheet自己填好，才將資料放上網頁，這個網頁是www.fafsa.ed.gov   
2004-12-28,用「特別指示」方式賣股票,"如果您手上持有一家公司的股票，這些股票都是在不同時候買入，所以每股成本都不同，當您將該股票一部份賣出時，一般都是賣出最初買入的股票，這個又稱為「先入先出」(FIRST IN, FIRST OUT)。由於股票成本不同，對賣出後產生的資金增值或虧蝕影響也不同。
有沒有辦法去指定賣出某一部份的股票，來選擇用那些股票的成本來計算資金增值或虧蝕呢？原來稅例上是容陰z採用「特別指定」(SPECIFIC IDENTIFICATION)的方法，去選擇賣出某一部份股票，而不用「先入先出」這個傳統方法。
可是，要用這個方法，一定要股票經紀行合作，因為稅例規定您要完成兩個步驟，首先，您要口頭或書面通知經紀行您要出售某部份股票，第二，經紀行要以書面確認您這個指示，兩者缺一不可。 
過去使用折扣經紀行(DISCOUNT BROKERAGE)是很難得到這個服務，但近年有些經紀行開始肯幫助客戶，交易佣金最低的BROWN & CO，VANGUARD和FIDELITY公司都讓您在網上交易時可以注明要用「特別指定」方法，然後在TRADE CONFIRMATION 上面確認。"
2004-12-27,將虧蝕在零四年扣稅,"年底之前有一個很重要的決定，就是是否要在投資帳戶中出售一些股票或共同基金，尤其是有虧蝕的投資，去利用資金虧蝕去扣稅，在扣除所有資金增值之後，還可以用$3000去扣除普通收入。
要在零四年扣稅，您的股票或共同基金必須在年底之前賣出，但買賣股票是有兩個日期，一個是「交易日」(TRADE DATE)，另一個是「交割日」(SETTLEMENT DATE)。「交易日」當然就是您將出售指示送到經紀行的當天，「交割日」通常是「交易日」之後第三個交易日。
要該交易在今年報稅表上出現，是需要「交易日」在零四年底之前呢，抑或「交割日」在年底之前呢？答案是﹕「交易日」。即使您在十二月三十一日作交易，零五年初才是「交割日」，也沒有問題，因為只要在零四年出售便可以了。 
只有一種投資產品是以「交割日」為準的，就是「短賣」(SHORT SALE)，假如您有一個「短賣」合約要「平倉」，假如有虧蝕需要在零四年扣稅，就一定要在年底前交割才可以算是零四年的虧蝕。"
2004-12-24,共同基金的「平均成本」,"近年相當流行的一種股票投資工具，稱為「交易所基金」(EXCHANGE TRADED FUND)，是介乎股票與共同基金之間，買賣與股票無異，但它像共同基金一樣，裡面的投資是分散到不同的股票，通常是按某股票市場指數，例如按S&P500指數投資的基金，代號為SPY；按NASDAQ 100指數投資的基金，代號為QQQQ。目前大約有一百多種這類的「交易所基金」。
當您買賣這類基金時，即使是好像股票一般作交易，但它們的本質是基金，所以報稅時是按共同基金的稅例。股票和基金一個稅務上的不同點，就是共同基金的成本，除了可以選擇用基金真正的買入價計算外，還可以選擇用「平均成本」(AVERAGE COST)方法計算，但股票則只能按股票真正的買入價作成本。
「平均成本」乃是將不同時期買入基金的成本，加在一起來計算平均成本，不論何時賣出基金，報稅時都是用該「平均成本」計算資金增值或虧蝕，其好處是比較簡單。不過一旦選擇了「平均成本」，以後賣出該基金都要用「平均成本」。"
2004-12-23,預繳稅足夠嗎？,您今年收入是否大幅增加？可能您今年加了薪金，或者您賣出一個投資，或者您從退休金提取了一大筆錢，這些都會推高您的收入。您需要擔心預繳稅不足嗎？  假如是薪金增加了，通常雇主扣起的預繳稅也會相應增加，所以應該是沒有問題的。可是，假如是投資或提取退休金的收入，通常都不會有預繳稅。不過，您可能不需要擔心預繳稅交得不足，而要被稅局罰款，因為有三個「安全港」可以避免罰金。  假如您今年預繳的稅款，達到去年稅款的100%，不論今年收入多高，也不必擔心預繳稅不足，但假如去年收入超過十五萬元，今年便起碼要預繳去年稅款的110%。  此外，假如您今年預繳稅款90%，也不用擔心罰款。最後，假如您欠的稅款在一千元以下，也不會有預繳稅不足的罰款。  做工的朋友，可能還來得及要求公司在最後一期薪金內多扣一點，但來不及也無所謂，因為即使沒有繳納應付的預繳稅，罰金也相當有限。
2004-12-22,國稅局宣布銷售稅資料,"最近新稅例容野峞u逐項扣稅」的納稅人，選擇是用州稅抑或銷售稅(SALES TAX)去扣稅。但是，大多數人都不會保留發票或收據，那怎樣知道自己有多少銷售稅呢？
國稅局最近宣布了納稅人可以採用的銷售稅的扣稅金額，是按家庭收入和人數而定，每一個州的金額都不一樣。在加州一個四個人的家庭，年收入五萬元，可以有$836銷售稅，但在紐約州這個家庭只有$575 銷售稅。收入越高，估計的銷售稅金額便越高。這個銷售稅資料可以在國稅局網頁上看到。
這個金額當然只是一個估計，納稅人如果自己有真正的銷售稅記錄，而這個銷售稅高於國稅局的金額的話，是可以用自己較高的金額。假如當年購買了汽車，付出了一大筆銷售稅，是可以加在國稅局宣布的銷售稅之上。 
當然對有州稅的納稅人，這個銷售稅金額要高於州稅才有作用，因為您只能在銷售稅與州稅兩者中選擇一項來扣稅。但對美國七個沒有州稅的居民，這個新稅法等于是讓用逐項扣稅的納稅人自動減稅。"
2004-12-21,將增值股票送給子女,"年底之前，應該看看是否要調整股票投資，將某些股票出售。如果以前有剩下資金虧蝕，當然可以全數與資金增值互相抵銷，之外，還有三千元虧蝕可以抵銷普通收入。 
假如沒有資金虧蝕，所有今年產生的資金增值便要付稅，如果股票或基金持有期在一年或以下，該資金增值便要當為普通收入付稅。即使持有期已經超過一年，可享受長期資金增值比較低(15%)稅率，但在計算州稅時，都要當為普通收入付稅。
如果家中有小孩子，可以考慮將增了值的股票先送給他，然後從他的帳戶內出售。小孩子有$850投資收入是免稅的，18歲或以上的孩子，超過$850的投資收入也是按他本身較低的稅率付稅，長期資金增值稅率低至5%。
假如夫婦贈送給孩子的股票市值不超過二萬四千元，是完全沒有「贈予稅」，也無需申報。不過，如果孩子準備入大學而要申請經濟援助，便要考慮到屬於孩子的資產對經濟援助金額有負面影響。"
2004-12-20,有通膨保障的債券,"美國過去幾年都沒有通貨膨漲的跡象，每年通膨率不過2-3%，可能另美國人以為再不會見到通貨膨漲。但事實上近期消費價格指數和批發價格指數都增高了，雖然目前仍沒有通膨威脅，但隨著經濟增長，難保將來通膨率不會上升到每年5%水平。
有兩種聯邦政府債券是有通膨保障的，第一種就是「通膨指數儲蓄債券」，亦稱為I-BOND，每六個月債券利息按通膨率調整。第二種是「」(TREASURY INFLATION- PROTECTED SECURITY),亦簡稱為TIPS，債券價值每六個月按通膨率調整，利息亦是按調整後的債券價值計算。
兩者有何分別呢? I-BOND全部是三十年期，起初十二個月不可以兌現。TIPS分為五年、十年和二十年。I-BOND 有每年購買金額限制，每人最高六萬元，TIPS沒有限制。I-BOND利息有延稅優惠，TIPS利息要每年繳納聯邦稅。I-BOND沒有在第二市場買賣，要兌現的話一定要向聯邦儲備銀行辦理，所以其價值永遠都是債券的本加利；TIPS可在第二市場買賣，故債券價值會隨市場情況有變化。"
2004-12-17,遺產成本提升好處大,"許多華人父母喜歡將子女加上物業產權上，作為共同擁有人(JOINT TENANT)，以為這樣做將來百年歸老後更方便子女續承產業。 
其實只要設立生前信托，由父母以生前信托的信任人(TRUSTEE)身份擁有物業，將來子女繼承非常方便。將子女名字預先加入產權，在稅務上往往大有壞處。 
當子女承受遺產時，產業的成本不再是父母以前購買產業時的成本，而是提升到死者過身當時的市場價值，將來賣出時可以幫助減低甚至免除任何資金增值，尤其是假如物業已經擁有多年，本身成本很低，成本提升(COST BASIS STEP UP)是省稅的最佳途徑。 
假如父母在生時已經將子女名字加入產權，子女擁有的那部份，成本是以前購入時的成本，即是父母將自己過去的成本也一起送給子女，將來賣出時可能要付一大筆資金增值稅，尤其是假如子女不住在該物業，所有資金增值都成為要付稅的收入。 
請父母考慮清楚才決定是否在生時便將產權轉移子女。"
2004-12-16,子女收入對經濟援助的影響, 大學的經濟援助(FINANCIAL AID)金額，主要是看家長的收入和資產，其中以父母收入最為重要。此外，也要看學生本身的收入和資產。學生如果有在課餘或暑假做工賺錢，只要全年收入不超過三千元，便對申請經濟援助沒有任何壞影響，假如收入超過了這個金額，超出的那部份，每二元工作收入便會減少一元經濟援助。所以在學生讀第十二班的時候，不應該花太多時間做工賺錢。學生的資產也會減少經濟援助金額，每一元資產都會減少經濟援助二十仙。家長為兒女設立的代管帳戶(CUSTODIAN ACCOUNT)，是屬於子女的資產，要申請經濟援助的家庭千萬不要用代管帳戶。學生有收入，最好是將賺到的收入放入對年輕人最有好處的ROTH IRA帳戶，因為申請公立大學時。不論是父母或子女的退休儲蓄帳戶，都不當為資產一部份。ROTH IRA每年最高可以存入五千元，既可為將來作免稅的儲蓄投資，又對申請大學經濟援助無損，值得大家考慮。
2004-12-15,為老師們設立的扣稅額,"當老師的有沒有特別的稅務優惠呢？在聯邦報稅表上，本來有一個為幼稚園到高中的老師或輔導員(COUNSELOR)而設的扣稅優惠，連工作超過九百小時的教學助理(TEACHER’S AIDE)都可以得到。這項優惠在零三年底結束，但國會最近通過延續，而且由零四年一月一日生效。
這個優惠稱為EDUCATOR EXPENSES，是個扣稅項目，在1040報稅表第二十三行填寫，直接減低老師的總收入。每一位老師最高可以扣除的費用是二百五十元。扣稅的費用包括老師自付的教學器材、書本、紙張等。
由於這個扣稅項目是直接由總收入中扣除，即使不用逐項扣稅，而只是用標準扣稅(STANDARD DEDUCTION)的納稅人都可以取得優惠。
此外，老師們假如要自費參加與本身教學有關的會議，一切交通和住宿的費用都可以扣稅，不過這些費用是當為雜項扣稅，要用逐項扣稅的納稅人才適用，而且雜項費用要超過總收入2%才可以扣稅。"
2004-12-14,共同基金為何有「字母」之分,"大家可能會見到，有些共同基金(MUTUAL FUND)的名稱後，加上CLASS A，CLASS B或CLASS C的字樣。為什麼共同基金有「種類」或「級別」之分呢？
CLASS A共同基金，要求您在買入時付出銷售費用(SALES CHARGE)，一般是百分之五左右，即是您要投資一千元到共同基金，便要付出$50銷售費用。假如您只投資一千元，只有九百五十元被放入共同基金，其餘五十元要支付銷售費用。
CLASS B共同基金，在購買時沒有銷售費用，但在您將來賣出基金時，要支付銷售費用，這種費用又叫做BACK END FEES。有些基金在您持有若干年後減少或免除銷售費用。
CLASS C共同基金，購買時沒有銷售費用，但它可能在賣出時有一點費用，並且它每年在基金的管理費用之外，再加收一個叫12-b1的費用。假如長期持有基金，CLASS C說不定比CLASS A和CLASS B的費用還高。
三種基金那一種比較好？我個人意見是最好不用付任何費用，因為很多共同基金是完全沒有銷售費用的，這些稱為NO LOAD 的共同基金，包括近年相當流行的股票指數共同基金，為投資者省下釵h費用。"
2004-12-13,旅游前應該通知銀行, 近年盜用身份事件大增，銀行和信用卡公司都提高警覺。萬一被人盜用信用卡，消費者即時通知信用卡公司，最高損失不會超過五十元。但信用卡公司卻要承受損失，所以他們都盡量去防止盜用的情況。  他們其中一個預防冒用的方法，是利用電腦去檢查客戶使用信用卡的情況，如果遇到有不尋常的情況，便會馬上採取防範行動。大家到離家比較遠的電油站加油時，可能要放入您住所的郵區號碼，便是預防措施之一。  此外，許多信用卡公司特別提防在國外使用信用卡，因為在國外使用時，商戶大多都沒有辦法去查證信用卡真假，也不能預先向信用卡公司取得授權編號，所以風險特別高。銀行一旦發覺您的信用卡在國外使用時，有可能會馬上與您求證。但如果您身在國外，銀行沒有辦法與您聯絡，便有可能會主動地暫停信用卡，您在國外當然不知道，但一用信用卡便會發覺無法使用，產生不方便甚至尷尬的情況。  要避免這種情況，最好是在未離開美國前，通知信用卡公司，讓它知道您將會在國外使用信用卡。當然，您旅游時都要提防失去信用卡，應該將信用卡報失電話和信用卡號碼副本帶在身邊，隨時可以使用。
2004-12-10,手提電話是否會被促銷,"您家中的電話可以透過「謝絕騷擾」登記，去避免電話推銷員致電到您家中去售賣商品或服務，只要到WWW.DONOTCALL.GOV 網址，放入電話號碼，便可以在五年內減少這類促銷電話。您亦可以致電1-888-382-1222去登記，不過您一定要用準備登記的電話。
這些電話推銷，一向只限於有線電話，最近有一個消息，說手提電話號碼將會在短期內被電話推銷公司取得，亦即手提電話也可能會受到推銷，所以提議要將手提電話號碼亦作「謝絕騷擾」登記。這個傳聞，是由於有可能會發行手提電話簿。但後來證實這個傳言不大正確，起碼目前未有這個計劃，所以手提電話是繼續沒有推銷來電的。 
不過，聯邦貿易部門告訴消費者，假如他們擔心手提電話接到推銷電話，是可以現在便將手提電話號碼登記。目前您登記了即使沒有益處，但也沒有任何壞處。"
2004-12-09,捐獻增值股票增加扣稅,"年底前大家都會關心如何多一些扣稅項目，對利用「逐項扣稅」(ITEMIZED DEDUCTION)的納稅人，作慈善捐獻或向教會作奉獻都可以增加扣稅金額。
要捐獻股票，最有稅務好處是捐出增了值和已經持有超過一年的股票。這樣做，您不必為資金增值付稅，卻可以用全部市值作扣稅用。由於受贈的慈善機構或教會是免稅的，所以根本就免去要付資金增值稅。 
假如股票有虧蝕，便不應該捐出去，而是應該自己賣出，將資金虧蝕用來扣稅，再將賣出金額作捐獻。假如股票持有期在一年或以下，便沒有上述稅務好處，因為只能以原來成本扣稅，不是以現今市值作扣稅用。 
捐獻股票，當然可以透過股票經紀行將股票交到受贈機構的股票戶口，但這是假定您已經選擇了受贈機構。如果您未選好受贈單位，或您不想一下子將全部股票捐到一兩家機構，可以選擇利用各大經紀行都提供的「捐獻基金」，馬上取得扣稅額，但不必馬上決定捐獻到那裡。"
2004-12-08,1031交換期限與WASH SALE,"接近年底，有兩項稅務事情值得投資者留意。 
第一項，是接近年底進行1031交換的讀者需要知道的。您作1031交換時，一般新物業要在舊物業交換出去之後一百八十天內換入新物業，但這個一百八十天其實是一百八十天或遞交保稅表日期，以兩者較早者為準。在十二月之內進行交換，本來一百八十天是到明年中旬左右，但假如您在明年四月十五日或之前遞交2004年報稅表，限期便在您遞交報稅表時結束，即是有可能不足一百八十天。
第二項，是與接近年底出售有虧蝕的投資有關，就是要提防WASH RULE。稅例上規定，當您在出售有虧蝕的投資之前或之後三十天內，如果有購買同樣的投資，則出售投資時產生的資金虧蝕不能馬上扣稅，而要將虧蝕放入購入的投資成本上。一旦成為WASH SALE，便不可在今年報稅表上扣稅，而要等到將來賣出這個投資時才可以扣。
WASH SALE 只影響有虧蝕的投資，對有資金增值的投資，即使有重新購買同樣投資，也一樣要為資金增值付稅。"
2004-12-07,退休帳戶是否受到保護,"您在工作時儲蓄的退休帳戶，例如401-K和IRA，經過多年累積與生利，可能是一筆相當龐大的資金，萬一您欠債或在官司中敗訴，對方是否有權取得您的退休儲蓄呢？
公司提供的401-K 和403-B之類退休戶口，是根據聯邦退休儲蓄條例，叫ERISA，在ERISA之下的退休儲蓄金額，即使是戶主破產，一般是不會被債主取到的，所以這類退休戶口有寧願高程度的保障。
但個人退休帳戶，即IRA或ROTH IRA之類戶口，並不受ERISA保障，所以有可能被債主取到部份或全部，實際情況是要看州的法律而定。有大約三十個州(包括加州)對個人退休帳戶沒有債務保障，其他州即使有些保障，也不一定保證法官不會讓債權人獲得部份金額。
即使401-K帳戶有保障，但一旦由401-K帳戶轉移到IRA，便成為IRA帳戶的一部份，極可能失去ERISA對債務的保障。所以雖然大多數員工離職時都應該將401-K帳戶內的金額以ROLLOVER方式轉移到IRA帳戶，但對有些家庭來說，需要債務保護的話，便應該留在原來的401-K 帳戶內。"
